"threat_id","threat","attack_or_failure_path","evidence_status","preventive_controls","detective_controls","corrective_controls","evaluation","residual_risk","primary_artifacts"
"T1a","Direct persistent memory poisoning","An attacker or compromised component writes a trigger or false record directly into a writable memory or knowledge store; later retrieval changes belief or action.","Peer-reviewed attack evidence in AgentPoison; Generalist likelihood and effect remain unmeasured.","Authenticate writer and channel; append immutable raw event; type source; candidate-only derived writes; independent evidence roots; authorize before ranking; mediate tools.","Log candidate creation promotion retrieval and tool effects; poison canaries; provenance and source-class validation; outlier and trigger probes.","Quarantine candidate; invalidate descendants; create correction edge; rebuild affected index; rollback promotion epoch without reviving tombstones.","Replicate AgentPoison where possible; adapt to candidate/promote boundary; measure attempt candidate promotion retrieval influence effect and persistence separately.","Unknown triggers and compromised trusted writers remain possible; a verifier sharing the same failure can approve poison.","threat-model.md;control-architecture.md;evaluation-plan.md"
"T1b","Query-only memory injection","An attacker without store access shapes ordinary-looking interactions until the agent records attacker-chosen content as useful memory.","Peer-reviewed attack evidence in MINJA; transfer to this architecture is unmeasured.","Rate- and purpose-bound writes; user-claim source type; no approval inferred from wording; minimum independent support for authoritative promotion; separate writer and verifier; capability-independent memory.","Detect repeated semantic steering; record provenance roots; alert on promotion from one external principal; probe semantically nearby benign queries.","Quarantine attacker-linked roots and descendants; demote promoted items; apply authoritative correction; rotate policy or verifier; replay promotion log.","Run fixed and adaptive MINJA-style multi-turn sequences under equal query budgets; include delayed triggers and benign conversational controls.","A patient attacker can imitate benign correction patterns; false-positive controls can reject legitimate personalization.","threat-model.md;control-architecture.md;evaluation-plan.md"
"T1c","Indirect tool or file poisoning","Untrusted instructions embedded in pages files messages or tool output are stored and later treated as commands or policy.","Peer-reviewed prompt-injection evidence in AgentDojo and InjecAgent; recent preprint evidence in MPBench and Bad Memory.","Treat tool and file text as untrusted data; preserve channel; prohibit content from granting authority; isolate procedural memory; explicit capability manifests; sandbox effects.","Taint/provenance tracing; content-to-capability transition log; policy violation detector; compare retrieved data with attempted instruction following.","Block effect; revoke candidate or procedure; invalidate descendants; rotate exposed credentials; repair source and replay from clean epoch.","Adapt AgentDojo InjecAgent MPBench and Bad Memory payloads through real ingestion paths; score store promotion retrieval proposal and executed effect.","Semantic boundaries between data and instructions remain imperfect in a generative model; opaque third-party tools can hide source context.","threat-model.md;control-architecture.md;evaluation-plan.md"
"T1d","Compositional poisoning","Several individually plausible records combine at retrieval or consolidation time into a harmful instruction false belief or capability path.","Recent preprint evidence in MemPoison; prevalence and transfer are not established.","Graph support by independent roots; joint-risk checks over candidate sets; procedural mediation; bounded multi-record synthesis; generated combinations remain generated.","Composition-aware probes; monitor risky co-retrieval; trace each conclusion to roots; evaluate combined effect rather than record-level filter output.","Quarantine the composed claim and implicated descendants; narrow retrieval; add explicit contradiction or prohibition; rebuild affected summaries.","Distribute fragments across sources time and dream cycles; measure single-fragment benign behavior and joint activation; vary retrieval top-k and compaction.","The dangerous property may emerge only under a future task or tool not present in the test suite.","threat-model.md;control-architecture.md;evaluation-plan.md"
"T1e","Dormant or sleeper poisoning","A stored payload behaves benignly until a later keyword event time policy change or combination activates it.","Recent preprint evidence in Hidden in Memory and MemPoison; long-horizon production frequency is unknown.","Do not promote on immediate benign behavior alone; source typing; no content-granted authority; time-bounded procedures; policy recheck at retrieval and execution.","Delayed-trigger corpus; persistence curves; re-evaluate memory after policy or capability change; scan for activation-condition patterns.","Demote and invalidate descendants; revoke affected capability; rollback promotion; preserve tombstone or denial rule across restore.","Separate injection and trigger phases with unrelated activity and multiple dream cycles; test post-restart post-policy-change and post-restore triggers.","Finite horizons cannot exclude later activation; trigger search is combinatorial.","threat-model.md;control-architecture.md;evaluation-plan.md"
"T2","Self-reinforcing hallucination","An assistant error is stored summarized cited by later generated material and promoted as if repeated generations were independent support.","Recent preprint evidence of consolidation drift in Useful Memories; exact effect is architecture-specific.","Immutable raw episodes; generated source class; lineage-aware root deduplication; generated items cannot support observational claims alone; candidate/promote separation.","Round-by-round correctness; confidence and support-root audit; generated-as-observed error; lineage-cycle detection; recursive-summary probes.","Demote unsupported descendants; re-derive from raw roots; attach correction; lower confidence or abstain; block recursive source inflation.","Replay stable facts errors and paraphrases through many consolidation schedules; compare dream off versus on and guarded versus unguarded.","A fluent false synthesis can pass model-based verification; external ground truth may not exist for subjective claims.","threat-model.md;control-architecture.md;evaluation-plan.md"
"T3","Generated material masquerades as observation","A dream reflection counterfactual or model summary loses its source type and is retrieved as evidence that an event occurred.","Design-specific threat motivated by generative-memory architectures; no prevalence estimate.","Schema-level source-class enum; immutable origin and lineage; generated records stored separately; type-preserving transformations; promotion cannot relabel origin.","Property tests over every state transition; source-class confusion matrix; provenance reachability; audit sampled prompts for origin labels.","Reject transaction; quarantine affected epoch; reconstruct from immutable roots; invalidate type-confused descendants.","Seed synthetic dreams that resemble observations; copy and summarize them repeatedly; test export import re-index rollback and restore.","Implementation bypasses or lossy third-party indexes may drop metadata; natural-language consumers can ignore correct labels.","threat-model.md;control-architecture.md;evaluation-plan.md"
"T4","Stale contradictory or superseded memory","A newer statement overwrites historical truth or an older statement continues to drive current behavior despite correction.","LongMemEval and MemoryAgentBench test narrow update/conflict cases; safe authority resolution is not established.","Validity intervals; event time and ingestion time; explicit supersedes and contradicts edges; authoritative field policies; no generic last-write-wins.","Conflict detection; stale-use rate; current versus historical query tests; confidence calibration by age and conflict status.","Add correction edge; demote current status without deleting history; re-index temporal fields; request clarification when authority is unresolved.","Cross legitimate corrections ambiguous conflicts clock skew and reordered delivery; score detection and resolution separately.","Authority may be contextual or unavailable; aggressive decay can erase durable facts.","threat-model.md;control-architecture.md;evaluation-plan.md"
"T5","Private-memory extraction","An adaptive requester infers or elicits private interaction history through memory-augmented responses.","Peer-reviewed black-box evidence in MEXTRA; tested systems and privacy channels are limited.","Minimize stored fields; sensitivity labels; purpose-bound access; authorize before ranking; redact prompt context; output disclosure policy; query rate limits.","Secret-canary monitors; retrieval and answer disclosure logs; adaptive extraction analytics; wrong-purpose access alerts.","Block output; revoke session or capability; rotate exposed secrets; delete unnecessary records and descendants; investigate audit trail.","MEXTRA-style adaptive queries plus exact and semantic canaries; measure candidate-set prompt answer and tool disclosure separately.","Semantic leakage can occur without verbatim retrieval; authorized users may still infer sensitive facts from aggregates.","threat-model.md;control-architecture.md;evaluation-plan.md"
"T6","Cross-user or cross-tenant leakage","A query retrieves or influences behavior using another principal's or tenant's memory because filtering occurs late or metadata is missing.","Design-specific critical threat; general access-control standards motivate controls but do not validate this implementation.","Cryptographic tenant and principal binding; mandatory metadata; authorization before approximate search and ranking; tenant-scoped indexes or enforceable row policy; deny on missing scope.","Unique per-tenant canaries; pre-ranking candidate-set audit; noninterference tests; alerts on scope mismatch at every store and cache.","Block response and effect; revoke session; rotate secret; purge leaked caches; repair index and policy; incident review.","Lexically similar multi-tenant tapes; missing and malformed metadata; cache reuse; re-index; backup restore; concurrent deletion and query.","Zero observed events only bounds the tested population; shared embedding services caches logs and operators add channels.","threat-model.md;control-architecture.md;evaluation-plan.md"
"T7","Over-broad but same-scope retrieval","Authorized memory irrelevant to the present purpose enters the model context and causes disclosure confusion or harmful action.","Design-specific threat; long-memory benchmarks measure retrieval quality but not full purpose limitation.","Purpose sensitivity time and capability filters before ranking; least-context retrieval; relevance threshold; abstain when evidence is weak.","Context inspection; retrieval precision by purpose; unrelated-canary exposure; downstream influence attribution.","Remove context; narrow policy or query; demote bad index entries; rebuild embeddings; correct resulting claims.","Probe semantically similar records under different purposes times and capabilities; vary top-k history size and adversarial distractors.","Relevance models can encode spurious similarity; legitimate multi-purpose tasks complicate policy.","threat-model.md;control-architecture.md;evaluation-plan.md"
